Table Name,row,Default Priority,Longname,"description (appears as variable ""comment"" in CMIP6 netCDF files)",units,comment (not sure how this is used),"Notes, Corrections, & Questions",Notes/Questions category,Notes/Questions category (secondary),Notes/Questions category (tertiary),override default severity,# institutions reporting per out_name,# models reporting per out_name,error severity,CF Standard Name,original CMIP6 cell_methods,proposed modification of cell_methods,where rule,new cell_methods,"""where"" extraction","refine ""where"" extraction","""over"" extraction","refine ""over"" extraction","realm implied by ""over"" directive",areaLabelDD,areaLabelDD (more refined),new standard_name criteria for realm,new auto-assigned primary realm,"primary realm for ""nd"" and ""mr"" (by inspection)",composite primary realm,realmLabelDD,auto-assigned additional realm based on standard name,"concat auto-assigned additional realm based on ""over"" directive","expand secondary a and o to ap, ac,op, and oc",user-assigned additional realms,Secondary realm(s),realmsDD,CMIP6 attribute: positive,CMIP6 attribute: type,verticalLabelDD (preliminary),verticalLabelDD (secondary),"indicate ""surface snow"" variables",certain surface variables?,verticalLabelDD (tertiary),verticalLabelDD (by inspection),verticalLabelDD (final),verticalLabelDD (final),horizontalLabelDD,original CMIP6 dimensions,proposed change in dimensions,corrected CMIP6 dimensions,original CMOR entry label,original CMIP6 modeling_realm (1st listed is primary),original CMIP6 frequency,new frequency (intervalReportedDD),temporalLabelDD,cell_measures,"CMIP6 variable name (referred to as ""out_name""; also original ""root"" name)",original CMIP6 almost unique variable label,branded variable label (retaining old root names),proposed new roots,proposed branded variable label,length of old i.d.,length of branded name,larger by a factor of,new-old difference ,"1=ant/grn; 2=globe-avg; 3=dupl.; 4=diff; 5=mult,6= sampling, 7=other",duplicate branded variable names,CMIP6 original primary realm,CMIP6 original secondary realm,CMIP6 abbrev. Primary realm,CMIP6 abbrev. secondary realm,old & new primary realms different,new primary different from all old realms,old primary different from all new realms,variable registry root names,distinct root variable name,same std. name; different root variable name,distinct CMIP6 outnames,distinct standard names,why different variable root name needed?,use_stats variable identifier,corresponding row in use_stats table,download ranking,use_stats & this page consistency,"original: ""where"" extraction","original: refine ""where"" extraction","original: domain from ""where"" directive",,expanded frequency,temporal method,vertical coordinate information,horizontal coordinate information,"""area type"" restriction",definition_qualifier:  additional description of variable.,cleaned definition_qualifier (removing text in brackets from column just to the left),brand description: automatically generated based on branded variable information,"next-generation CMIP comment attribute for variable (constructed from original comment attribute appended to proposed ""definition_qualifier"" (NOTE: The text following the final ""::"" will need to be reviewed and edited.)",dataRegionDD,cleaned version of region,"preliminary long_name: replaces ""time"" with frequency reported ","long_name: adds to brand description both ""frequency"" and for non-global data, ""region"" labels",duplicate long names?,count number of variables with the same (old) label in rows above,table_id transferred from ESGF database,variable_id transferred from ESGF database,old variable label (from ESGF database),# models reporting variable listed in column DD,count number of variables consistent with ESGF label,# models reporting variable listed in column BH,unrequested variables,models/groups providing unrequested variables,variables that might change,subhr,1hr,3hr,6hr,day,mon,yr,dec,fx,all,,,3hr,6hrLev,6hrPlev,6hrPlevPt,AERday,AERhr,AERmon,AERmonZ,Amon,CF3hr,CFday,CFmon,CFsubhr,day,E1hr,E1hrClimMon,E3hr,E3hrPt,E6hrZ,Eday,EdayZ,Efx,Emon,EmonZ,Esubhr,Eyr,fx,IfxAnt,IfxGre,ImonAnt,ImonGre,IyrAnt,IyrGre,LImon,Lmon,Oclim,Oday,Odec,Ofx,Omon,Oyr,SIday,SImon,all,area type,,x,air,sea,land,sea_ice,ice_sheet,other,all,,priority 1,priority 2,priority 3,all,,,,,,,,,,,,,,,,,,,"length of original CMIP6 ""outname""","Exclude from variable registry.  No need to distinguish among variables in different ""regions"" (e.g., Antarctica and Greenland)",Modify dimensions.  No need for special horizontal coordinates. ,Modify dimensions.  Add or remove scalar coordinate.,Modify dimension.  Other,Check units.,Standard name issue.,Modiy root name.,"Deprecate? Eliminate one of ""point"" or ""mean"" variable options.",Depricate?  Few institutions contributed variable to CMIP6.,Eliminate or deprecate?  ,"Modify cell methods.  Include ""where air"".","Modify cell methods.  Include ""where sea"".",Modify cell methods.,number of correction/question error flags found,number of corrections/questions needing individual consideration,branding suffix,duplicate suffix?
CFsubhr,35,1,Pressure at Model Full-Levels,Air pressure on model levels,Pa,0,,,,,,missing,missing,,air_pressure,area: point time: point,,,area: point time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxys,alevel site time1,,alevel site time1,pfull,atmos,subhrPt,subhr,tpt,0,pfull,pfull-CFsubhr,pfull-subhr-unknown-tpt-l-hxys,,pfull_tpt-l-hxys-x,13,18,1.4,5,,,atmos,,ap,,1,1,0,pfull,1,,5,5,,CFsubhr.pfull,missing,x,error1,x,x,xx,xx --> x,sub-hourly, synoptic samples, provided on multiple model levels and, reported at assorted individual sites,, on model full-levels, on model full-levels,air pressure on model full-levels: synoptic samples provided on multiple model levels and reported at assorted individual sites, on model full-levels :: Air pressure on model levels,global,global,air pressure on model full-levels: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,air pressure on model full-levels: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,,0,Efx,rlu,rlu-Efx,13,1,4,,,0,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,tstat,<set to user-specified text,ht,"characterizing transport crossing a ""line"" (not coincident with a latitude circle)",,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxys-x,
CF3hr,6,2,Pressure on Model Half-Levels,Air pressure on model half-levels,Pa,0,,,,,,missing,missing,,air_pressure,area: mean time: point,,,area: mean time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time1,,longitude latitude alevhalf time1,phalf,atmos,3hrPt,3hr,tpt,area: areacella,phalf,phalf-CF3hr,phalf-3hr-unknown-tpt-l-hxy,,phalf_tpt-l-hxy-x,11,17,1.5,6,,,atmos,,ap,,1,1,0,phalf,,XXXXX,6,5,different pressure levels,CF3hr.phalf,missing,x,,x,x,xx,xx --> x,3-hourly, synoptic samples, provided on multiple model levels and, reported on a 2-d spatial grid,, on model half-levels, on model half-levels,air pressure on model half-levels: synoptic samples provided on multiple model levels and reported on a 2-d spatial grid, on model half-levels :: Air pressure on model half-levels,global,global,air pressure on model half-levels: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model half-levels: 3-hourly synoptic samples provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,fldcapacity,fldcapacity-Efx,2,1,3,,,0,,,missing,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,,missing,,,,,10,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxy-x,yes
CFday,37,1,Pressure on Model Half-Levels,Air pressure on model half-levels,Pa,0,,,,,,missing,missing,,air_pressure,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,phalf,atmos,day,day,tavg,area: areacella,phalf,phalf-CFday,phalf-day-unknown-tavg-l-hxy,,phalf_tavg-l-hxy-x,11,18,1.6,7,,,atmos,,ap,,1,1,0,phalf,1,,6,5,,CFday.phalf,missing,x,error1,x,x,xx,xx --> x,daily, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, on model half-levels, on model half-levels,air pressure on model half-levels: time means provided on multiple model levels and reported on a 2-d spatial grid, on model half-levels :: Air pressure on model half-levels,global,global,air pressure on model half-levels: daily means provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model half-levels: daily means provided on multiple model levels and reported on a 2-d spatial grid,,0,Efx,sandfrac,sandfrac-Efx,9,1,18,,,0,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,ti,"time-independent,",,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
AERmon,97,1,Pressure on Model Half-Levels,Air pressure on model half-levels,Pa,The atmospheric pressure at the model layer interfaces for all times and levels in the associated output variables,,,,,,missing,missing,,air_pressure,area: time: mean,,,area: time: mean,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time,,longitude latitude alevhalf time,phalf,aerosol,mon,mon,tavg,area: areacella,phalf,phalf-AERmon,phalf-mon-unknown-tavg-l-hxy,,phalf_tavg-l-hxy-x,12,18,1.5,6,,1,aerosol,,ac,,1,1,1,phalf,1,,6,5,,AERmon.phalf,missing,x,error1,x,x,xx,xx --> x,monthly, time means, provided on multiple model levels and, reported on a 2-d spatial grid,, on model half-levels, on model half-levels,air pressure on model half-levels: time means provided on multiple model levels and reported on a 2-d spatial grid, on model half-levels :: Air pressure on model half-levels,global,global,air pressure on model half-levels: monthly means provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model half-levels: monthly means provided on multiple model levels and reported on a 2-d spatial grid,,0,E1hr,pr,pr-E1hr,23,1,14,,,0,,,,,,missing,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,,"""requested""",column O,,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tavg-l-hxy-x,yes
Amon,76,1,Pressure on Model Half-Levels,Air pressure on model half-levels,Pa,0,,,,,,missing,missing,,air_pressure,area: mean time: mean within years time: mean over years,,,area: mean time: mean within years time: mean over years,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxy,longitude latitude alevhalf time2,,longitude latitude alevhalf time2,phalf,atmos,monC,mon,tcla,area: areacella,phalf,phalf-Amon,phalf-mon-unknown-tcla-l-hxy,,phalf_tcla-l-hxy-x,10,18,1.8,8,,,atmos,,ap,,1,1,0,phalf,1,,6,5,,Amon.phalf,missing,x,error1,x,x,xx,xx --> x,monthly, climatology, provided on multiple model levels and, reported on a 2-d spatial grid,, on model half-levels, on model half-levels,air pressure on model half-levels: climatology provided on multiple model levels and reported on a 2-d spatial grid, on model half-levels :: Air pressure on model half-levels,global,global,air pressure on model half-levels: monthly climatology provided on multiple model levels and reported on a 2-d spatial grid,air pressure on model half-levels: monthly climatology provided on multiple model levels and reported on a 2-d spatial grid,,0,E1hr,prc,prc-E1hr,16,1,22,,,0,,,,,,missing,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,z0p1,at a depth of 0.1 m,"""x""","""""",,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tcla-l-hxy-x,yes
CFsubhr,36,1,Pressure on Model Half-Levels,Air pressure on model half-levels,Pa,0,,,,,,missing,missing,,air_pressure,area: point time: point,,,area: point time: point,x,x,x,x,,x,x,a,x,,x,unknown,a,a,ap,,ap,unknown ap,0,real,l,l,x,,l,,l,l,hxys,alevhalf site time1,,alevhalf site time1,phalf,atmos,subhrPt,subhr,tpt,0,phalf,phalf-CFsubhr,phalf-subhr-unknown-tpt-l-hxys,,phalf_tpt-l-hxys-x,13,18,1.4,5,,,atmos,,ap,,1,1,0,phalf,1,,6,5,,CFsubhr.phalf,missing,x,error1,x,x,xx,xx --> x,sub-hourly, synoptic samples, provided on multiple model levels and, reported at assorted individual sites,, on model half-levels, on model half-levels,air pressure on model half-levels: synoptic samples provided on multiple model levels and reported at assorted individual sites, on model half-levels :: Air pressure on model half-levels,global,global,air pressure on model half-levels: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,air pressure on model half-levels: sub-hourly synoptic samples provided on multiple model levels and reported at assorted individual sites,,0,IfxGre,topg,topg-IfxGre,4,1,4,,,0,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,missing,,,,,,,,,missing,,,,6,,"<> ""x""",over <O>,,,,,,x,l,x,x,x,x,,x,,5,,,,,,,,,,,,,,0,0,tpt-l-hxys-x,yes
CFday,18,1,ISCCP Mean Cloud Top Pressure,ISCCP Mean Cloud Top Pressure. Time-means are weighted by the ISCCP Total Cloud Fraction {:cltisccp} - see  http://cfmip.metoffice.com/COSP.html,Pa,time-means are weighted by the ISCCP Total Cloud Fraction - see  http://cfmip.metoffice.com/COSP.html,need to indicate in cell_methods that ISCCCP cloud area should be used in weighting,cellWt,,,,missing,missing,1,air_pressure_at_cloud_top,area: time: mean where cloud,area: time: mean where cloud (weighted by ISCCP total cloud area),2,area: time: mean where cloud (weighted by ISCCP total cloud area),cloud (weighted by ISCCP total cloud area),cloud,x,x,,sp,cl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,pctisccp,atmos,day,day,tavg,area: areacella,pctisccp,pctisccp-CFday,pctisccp-day-ap-tavg-z0-hxy,,pctisccp_tavg-z0-hxy-cl,14,23,1.6,9,,,atmos,,ap,,0,,,pctisccp,,,7,6,,CFday.pctisccp,missing,x,error1,cloud,cloud,a,a --> sp,daily, time means,, reported on a 2-d spatial grid, where cloud (weighted by ISCCP total cloud area),,,air pressure at cloud top: time means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),ISCCP Mean Cloud Top Pressure. Time-means are weighted by the ISCCP Total Cloud Fraction {:cltisccp} - see  http://cfmip.metoffice.com/COSP.html,global,global,air pressure at cloud top: daily means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),air pressure at cloud top: daily means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),,0,IfxGre,hfgeoubed,hfgeoubed-IfxGre,4,1,19,,,1,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,z00,"""""",,,,,,,,cloud,z0,cloud,cloud,x,x,,sp,,8,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-cl,
CFmon,51,1,ISCCP Mean Cloud Top Pressure,ISCCP Mean Cloud Top Pressure. Time-means are weighted by the ISCCP Total Cloud Fraction {:cltisccp} - see  http://cfmip.metoffice.com/COSP.html,Pa,time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html,need to indicate in cell_methods that ISCCCP cloud area should be used in weighting,cellWt,,,,missing,missing,1,air_pressure_at_cloud_top,area: time: mean where cloud,area: time: mean where cloud (weighted by ISCCP total cloud area),2,area: time: mean where cloud (weighted by ISCCP total cloud area),cloud (weighted by ISCCP total cloud area),cloud,x,x,,sp,cl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,pctisccp,atmos,mon,mon,tavg,area: areacella,pctisccp,pctisccp-CFmon,pctisccp-mon-ap-tavg-z0-hxy,,pctisccp_tavg-z0-hxy-cl,14,23,1.6,9,,1,atmos,,ap,,0,,,pctisccp,1,,7,6,,CFmon.pctisccp,missing,x,error1,cloud,cloud,a,a --> sp,monthly, time means,, reported on a 2-d spatial grid, where cloud (weighted by ISCCP total cloud area),,,air pressure at cloud top: time means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),ISCCP Mean Cloud Top Pressure. Time-means are weighted by the ISCCP Total Cloud Fraction {:cltisccp} - see  http://cfmip.metoffice.com/COSP.html,global,global,air pressure at cloud top: monthly means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),air pressure at cloud top: monthly means reported on a 2-d spatial grid where cloud (weighted by ISCCP total cloud area),,0,IfxGre,lithk,lithk-IfxGre,4,1,38,,,1,,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,0,,,,,,,,,cloud,z0,cloud,cloud,x,x,,sp,,8,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-cl,yes
CFday,14,1,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",Pa,0,"cell_methods should include ""where convective_cloud"".  When regridding, should these be weighted by *total* convective cloud area or by convective cloud area in the grid cell located at cloud base?",?,cellWt,,1,missing,missing,1,air_pressure_at_convective_cloud_base,area: time: mean,area: time: mean where convective_cloud (weighted by total convective cloud area),2,area: time: mean where convective_cloud (weighted by total convective cloud area),convective_cloud (weighted by total convective cloud area),convective_cloud,x,x,,sp,ccl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,ccb,atmos,day,day,tavg,area: areacella,ccb,ccb-CFday,ccb-day-ap-tavg-z0-hxy,,ccb_tavg-z0-hxy-ccl,9,19,2.1,10,,,atmos,,ap,,0,,,ccb,,,8,7,,CFday.ccb,missing,x,error1,x,x,xx,xx --> sp,daily, time means,, reported on a 2-d spatial grid, where convective_cloud (weighted by total convective cloud area),,,air pressure at convective cloud base: time means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",global,global,air pressure at convective cloud base: daily means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),air pressure at convective cloud base: daily means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),,0,Oyr,pbsi,pbsi-Oyr,10,1,23,,,2,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,1164,,,,,,,,,convective_cloud,z0,x,x,x,x,,x,X,3,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-ccl,
Amon,39,1,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",Pa,0,"cell_methods should include ""where convective_cloud"".  When regridding, should these be weighted by *total* convective cloud area or by convective cloud area in the grid cell located at cloud base?",?,cellWt,,1,missing,missing,1,air_pressure_at_convective_cloud_base,area: time: mean,area: time: mean where convective_cloud (weighted by total convective cloud area),2,area: time: mean where convective_cloud (weighted by total convective cloud area),convective_cloud (weighted by total convective cloud area),convective_cloud,x,x,,sp,ccl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,ccb,atmos,mon,mon,tavg,area: areacella,ccb,ccb-Amon,ccb-mon-ap-tavg-z0-hxy,,ccb_tavg-z0-hxy-ccl,8,19,2.4,11,,1,atmos,,ap,,0,,,ccb,1,,8,7,,Amon.ccb,missing,x,error1,x,x,xx,xx --> sp,monthly, time means,, reported on a 2-d spatial grid, where convective_cloud (weighted by total convective cloud area),,,air pressure at convective cloud base: time means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",global,global,air pressure at convective cloud base: monthly means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),air pressure at convective cloud base: monthly means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),,0,Oyr,pppico,pppico-Oyr,1,1,48,,,2,,,,,,missing,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,,"""requested""",,,,,,,,convective_cloud,z0,x,x,x,x,,x,X,3,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-ccl,yes
CFsubhr,74,1,Air Pressure at Convective Cloud Base,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",Pa,0,"cell_methods should include ""where convective_cloud"".  When regridding, should these be weighted by *total* convective cloud area or by convective cloud area in the grid cell located at cloud base?",?,cellWt,,1,missing,missing,1,air_pressure_at_convective_cloud_base,area: point time: point,area: time: point where convective_cloud,2,area: time: point where convective_cloud,convective_cloud,convective_cloud,x,x,,sp,ccl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxys,site time1,,site time1,ccb,atmos,subhrPt,subhr,tpt,0,ccb,ccb-CFsubhr,ccb-subhr-ap-tpt-z0-hxys,,ccb_tpt-z0-hxys-ccl,11,19,1.7,8,,,atmos,,ap,,0,,,ccb,1,,8,7,,CFsubhr.ccb,missing,x,error1,x,x,xx,xx --> sp,sub-hourly, synoptic samples,, reported at assorted individual sites, where convective_cloud,,,air pressure at convective cloud base: synoptic samples reported at assorted individual sites where convective_cloud,"Where convective cloud is present in the grid cell, the instantaneous cloud base altitude should be that of the bottom of the lowest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",global,global,air pressure at convective cloud base: sub-hourly synoptic samples reported at assorted individual sites where convective_cloud,air pressure at convective cloud base: sub-hourly synoptic samples reported at assorted individual sites where convective_cloud,,0,Oyr,no3,no3-Oyr,25,1,7,,,2,missing,,,,,,,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,l,on multiple model levels,,,,,,,,convective_cloud,z0,x,x,x,x,,x,X,3,,,,,,,,,,,,,12:Modify cell methods?,1,1,tpt-z0-hxys-ccl,
CFday,15,1,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",Pa,0,"cell_methods should include ""where convective_cloud"".  When regridding, should these be weighted by *total* convective cloud area or by convective cloud area in the grid cell located at cloud base?",?,cellWt,,1,missing,missing,1,air_pressure_at_convective_cloud_top,area: time: mean,area: time: mean where convective_cloud (weighted by total convective cloud area),2,area: time: mean where convective_cloud (weighted by total convective cloud area),convective_cloud (weighted by total convective cloud area),convective_cloud,x,x,,sp,ccl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,cct,atmos,day,day,tavg,area: areacella,cct,cct-CFday,cct-day-ap-tavg-z0-hxy,,cct_tavg-z0-hxy-ccl,9,19,2.1,10,,,atmos,,ap,,0,,,cct,,,9,8,,CFday.cct,missing,x,error1,x,x,xx,xx --> sp,daily, time means,, reported on a 2-d spatial grid, where convective_cloud (weighted by total convective cloud area),,,air pressure at convective cloud top: time means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",global,global,air pressure at convective cloud top: daily means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),air pressure at convective cloud top: daily means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),,0,Oyr,co3nat,co3nat-Oyr,4,1,27,,,2,,,,,missing,,,,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,563,,,,,,,,,convective_cloud,z0,x,x,x,x,,x,X,3,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-ccl,yes
Amon,40,1,Air Pressure at Convective Cloud Top,"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",Pa,0,"cell_methods should include ""where convective_cloud"".  When regridding, should these be weighted by *total* convective cloud area or by convective cloud area in the grid cell located at cloud base?",?,cellWt,,1,missing,missing,1,air_pressure_at_convective_cloud_top,area: time: mean,area: time: mean where convective_cloud (weighted by total convective cloud area),2,area: time: mean where convective_cloud (weighted by total convective cloud area),convective_cloud (weighted by total convective cloud area),convective_cloud,x,x,,sp,ccl,a,a,,a,ap,,,,,,ap,0,real,z0X,z0X,x,,z0X,,z0,z0,hxy,longitude latitude time,,longitude latitude time,cct,atmos,mon,mon,tavg,area: areacella,cct,cct-Amon,cct-mon-ap-tavg-z0-hxy,,cct_tavg-z0-hxy-ccl,8,19,2.4,11,,1,atmos,,ap,,0,,,cct,1,,9,8,,Amon.cct,missing,x,error1,x,x,xx,xx --> sp,monthly, time means,, reported on a 2-d spatial grid, where convective_cloud (weighted by total convective cloud area),,,air pressure at convective cloud top: time means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),"Where convective cloud is present in the grid cell, the instantaneous cloud top altitude should be that of the top of the highest level containing convective cloud. Missing data should be reported in the absence of convective cloud. The time mean should be calculated from these quantities averaging over occasions when convective cloud is present only, and should contain missing data for occasions when no convective cloud is present during the meaning period.",global,global,air pressure at convective cloud top: monthly means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),air pressure at convective cloud top: monthly means reported on a 2-d spatial grid where convective_cloud (weighted by total convective cloud area),,0,Oyr,ocontempdiff,ocontempdiff-Oyr,4,1,56,,,2,,,,,,missing,,,,,,,,,,,,,,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,other,,,,,,,,missing,,,missing,,,,rhon,on multiple density surfaces,,,,,,,,convective_cloud,z0,x,x,x,x,,x,X,3,,,,,,,,,,,,,12:Modify cell methods?,1,1,tavg-z0-hxy-ccl,yes
